,X,Y,Z3,Z15,Z30
442,-73.7512771007,40.5694231013,0,1,0
443,-73.7412771007,40.5694231013,0,1,1
444,-73.7312771007,40.5694231013,0,1,1
445,-73.7212771007,40.5694231013,0,1,1
446,-73.7112771007,40.5694231013,0,1,1
447,-73.7012771007,40.5694231013,0,1,1
448,-74.2512771007,40.5794231013,0,1,1
449,-74.2412771007,40.5794231013,1,0,1
450,-74.2312771007,40.5794231013,2,0,1
451,-74.2212771007,40.5794231013,2,2,1
452,-74.2112771007,40.5794231013,1,1,1
453,-74.2012771007,40.5794231013,1,1,1
454,-74.1912771007,40.5794231013,1,1,1
455,-74.1812771007,40.5794231013,1,1,1
456,-74.1712771007,40.5794231013,0,0,1
457,-74.1612771007,40.5794231013,0,0,1
458,-74.1512771007,40.5794231013,0,2,1
459,-74.1412771007,40.5794231013,1,1,1
460,-74.1312771007,40.5794231013,1,1,1
461,-74.1212771007,40.5794231013,1,1,1
462,-74.1112771007,40.5794231013,1,1,0
463,-74.1012771007,40.5794231013,1,1,1
464,-74.0912771007,40.5794231013,1,1,1
465,-74.0812771007,40.5794231013,1,1,1
466,-74.0712771007,40.5794231013,0,1,1
467,-74.0612771007,40.5794231013,0,1,1
468,-74.0512771007,40.5794231013,0,0,1
469,-74.0412771007,40.5794231013,0,0,2
470,-74.0312771007,40.5794231013,2,2,2
471,-74.0212771007,40.5794231013,2,2,2
472,-74.0112771007,40.5794231013,2,2,2
473,-74.0012771007,40.5794231013,0,1,1
474,-73.9912771007,40.5794231013,1,0,1
475,-73.9812771007,40.5794231013,1,1,1
476,-73.9712771007,40.5794231013,0,0,0
477,-73.9612771007,40.5794231013,1,1,1
478,-73.9512771007,40.5794231013,0,1,1
479,-73.9412771007,40.5794231013,1,1,1
480,-73.9312771007,40.5794231013,0,0,0
481,-73.9212771007,40.5794231013,0,0,0
482,-73.9112771007,40.5794231013,0,0,1
483,-73.9012771007,40.5794231013,1,0,1
484,-73.8912771007,40.5794231013,1,1,1
485,-73.8812771007,40.5794231013,1,1,1
486,-73.8712771007,40.5794231013,1,1,1
487,-73.8612771007,40.5794231013,1,1,1
488,-73.8512771007,40.5794231013,1,1,1
489,-73.8412771007,40.5794231013,1,1,1
490,-73.8312771007,40.5794231013,1,1,1
491,-73.8212771007,40.5794231013,1,1,1
492,-73.8112771007,40.5794231013,0,1,1
493,-73.8012771007,40.5794231013,1,1,1
494,-73.7912771007,40.5794231013,1,1,1
495,-73.7812771007,40.5794231013,1,1,1
496,-73.7712771007,40.5794231013,1,1,1
497,-73.7612771007,40.5794231013,1,1,1
498,-73.7512771007,40.5794231013,0,1,0
499,-73.7412771007,40.5794231013,0,1,1
500,-73.7312771007,40.5794231013,0,1,1
501,-73.7212771007,40.5794231013,0,1,1
502,-73.7112771007,40.5794231013,0,1,1
503,-73.7012771007,40.5794231013,0,1,1
504,-74.2512771007,40.5894231013,1,0,1
505,-74.2412771007,40.5894231013,2,0,1
506,-74.2312771007,40.5894231013,1,1,1
507,-74.2212771007,40.5894231013,1,1,1
508,-74.2112771007,40.5894231013,1,1,1
509,-74.2012771007,40.5894231013,1,1,1
510,-74.1912771007,40.5894231013,1,1,1
511,-74.1812771007,40.5894231013,1,1,1
512,-74.1712771007,40.5894231013,1,1,1
513,-74.1612771007,40.5894231013,1,1,1
514,-74.1512771007,40.5894231013,1,1,1
515,-74.1412771007,40.5894231013,1,1,1
516,-74.1312771007,40.5894231013,1,1,1
517,-74.1212771007,40.5894231013,1,1,1
518,-74.1112771007,40.5894231013,1,0,0
519,-74.1012771007,40.5894231013,0,0,0
520,-74.0912771007,40.5894231013,1,0,0
521,-74.0812771007,40.5894231013,1,1,1
522,-74.0712771007,40.5894231013,1,1,1
523,-74.0612771007,40.5894231013,0,0,1
524,-74.0512771007,40.5894231013,0,0,0
525,-74.0412771007,40.5894231013,2,0,1
526,-74.0312771007,40.5894231013,1,2,2
527,-74.0212771007,40.5894231013,2,2,2
528,-74.0112771007,40.5894231013,1,0,0
529,-74.0012771007,40.5894231013,0,1,0
530,-73.9912771007,40.5894231013,1,1,1
531,-73.9812771007,40.5894231013,1,1,1
532,-73.9712771007,40.5894231013,1,1,1
533,-73.9612771007,40.5894231013,2,1,0
534,-73.9512771007,40.5894231013,0,0,0
535,-73.9412771007,40.5894231013,0,0,0
536,-73.9312771007,40.5894231013,1,1,1
537,-73.9212771007,40.5894231013,0,1,1
538,-73.9112771007,40.5894231013,0,1,1
539,-73.9012771007,40.5894231013,1,1,1
540,-73.8912771007,40.5894231013,1,1,1
541,-73.8812771007,40.5894231013,1,1,1
542,-73.8712771007,40.5894231013,1,1,1
543,-73.8612771007,40.5894231013,1,1,1
544,-73.8512771007,40.5894231013,1,1,1
545,-73.8412771007,40.5894231013,1,1,1
546,-73.8312771007,40.5894231013,1,1,1
547,-73.8212771007,40.5894231013,1,1,1
548,-73.8112771007,40.5894231013,1,1,1
549,-73.8012771007,40.5894231013,1,1,1
550,-73.7912771007,40.5894231013,1,1,1
551,-73.7812771007,40.5894231013,1,1,1
552,-73.7712771007,40.5894231013,1,2,2
553,-73.7612771007,40.5894231013,1,1,1
554,-73.7512771007,40.5894231013,0,1,0
555,-73.7412771007,40.5894231013,0,1,1
556,-73.7312771007,40.5894231013,0,1,1
557,-73.7212771007,40.5894231013,0,1,1
558,-73.7112771007,40.5894231013,0,1,1
559,-73.7012771007,40.5894231013,0,1,1
560,-74.2512771007,40.5994231013,1,1,1
561,-74.2412771007,40.5994231013,1,1,1
562,-74.2312771007,40.5994231013,1,1,1
563,-74.2212771007,40.5994231013,1,1,1
564,-74.2112771007,40.5994231013,1,1,1
565,-74.2012771007,40.5994231013,1,1,1
566,-74.1912771007,40.5994231013,1,1,1
567,-74.1812771007,40.5994231013,1,1,1
568,-74.1712771007,40.5994231013,1,1,1
569,-74.1612771007,40.5994231013,1,1,1
570,-74.1512771007,40.5994231013,0,0,0
571,-74.1412771007,40.5994231013,1,1,0
572,-74.1312771007,40.5994231013,1,0,1
573,-74.1212771007,40.5994231013,0,1,1
574,-74.1112771007,40.5994231013,1,1,1
575,-74.1012771007,40.5994231013,1,1,1
576,-74.0912771007,40.5994231013,1,1,1
577,-74.0812771007,40.5994231013,1,1,1
578,-74.0712771007,40.5994231013,1,1,0
579,-74.0612771007,40.5994231013,1,1,0
580,-74.0512771007,40.5994231013,2,0,1
581,-74.0412771007,40.5994231013,1,1,1
582,-74.0312771007,40.5994231013,0,1,1
583,-74.0212771007,40.5994231013,0,2,1
584,-74.0112771007,40.5994231013,1,1,1
585,-74.0012771007,40.5994231013,0,0,0
586,-73.9912771007,40.5994231013,0,1,1
587,-73.9812771007,40.5994231013,1,1,1
588,-73.9712771007,40.5994231013,1,1,0
589,-73.9612771007,40.5994231013,0,0,0
590,-73.9512771007,40.5994231013,0,0,0
591,-73.9412771007,40.5994231013,1,1,1
592,-73.9312771007,40.5994231013,0,0,0
593,-73.9212771007,40.5994231013,1,1,1
594,-73.9112771007,40.5994231013,1,1,1
595,-73.9012771007,40.5994231013,1,1,1
596,-73.8912771007,40.5994231013,1,1,1
597,-73.8812771007,40.5994231013,0,1,1
598,-73.8712771007,40.5994231013,1,1,1
599,-73.8612771007,40.5994231013,1,1,1
600,-73.8512771007,40.5994231013,1,1,1
601,-73.8412771007,40.5994231013,1,1,1
602,-73.8312771007,40.5994231013,1,1,1
603,-73.8212771007,40.5994231013,1,1,1
604,-73.8112771007,40.5994231013,1,1,1
