,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2013561,-73.9485306958,40.7815177006,1,1,2,0,1
2013568,-73.8598643977,40.7495829899,1,2,0,4,0
2013578,-74.1973499756,40.5566256906,0,0,1,3,3
2013580,-73.9589545215,40.6890099715,0,0,3,1,4
2013581,-73.8286461303,40.8545020339,1,1,2,2,2
2013582,-73.956613345,40.7126744881,0,0,3,0,1
2013584,-73.9395642322,40.6987206494,0,0,3,1,0
2013585,-73.9392613265,40.8213995593,1,1,2,2,2
2013586,-73.9204322802,40.8105958609,1,1,2,2,2
2013588,-73.977253013,40.7349156995,0,0,3,0,1
2013590,-73.8763530685,40.7464975567,0,2,0,4,0
2013591,-73.7690775328,40.6753224437,0,2,0,4,5
2013592,-73.920712082,40.6333368099,0,0,3,1,4
2013593,-73.9215925752,40.8651971885,1,1,2,2,2
2013594,-73.8652905932,40.814801686,1,1,2,2,2
2013595,-73.929545394,40.8525739505,1,1,2,2,2
2013605,-73.8173150638,40.778958041,1,2,0,4,5
2013606,-73.9268922406,40.8656782455,1,1,2,2,2
2013611,-73.7909150783,40.6772141842,0,2,0,4,5
2013612,-73.8481804293,40.8150301954,1,1,2,2,2
2013614,-73.9930811586,40.6813070204,0,0,3,1,4
2013619,-73.9108623141,40.8353160246,1,1,2,2,2
2013620,-73.9708276159,40.6830437162,0,0,3,1,4
2013621,-73.9171253081,40.8524833557,1,1,2,2,2
2013623,-74.0011785318,40.6559866551,0,0,3,1,4
2013624,-73.964762883,40.6971117099,0,0,3,1,4
2013626,-73.8112317484,40.6704202937,0,2,0,4,5
2013628,-73.985337683,40.7586947728,0,0,3,0,1
2013629,-73.9561953718,40.6900272641,0,0,3,1,4
2013631,-73.8640038821,40.8893463971,1,1,2,2,2
2013634,-73.9231263725,40.69555985,0,0,3,1,0
2013636,-73.8808806125,40.660665219,0,2,3,1,0
2013638,-73.8436205264,40.6815605299,0,2,0,4,5
2013640,-73.8951675097,40.8468580572,1,1,2,2,2
2013641,-73.9126108481,40.8412294703,1,1,2,2,2
2013642,-73.9529499361,40.8179421224,1,1,2,2,2
2013643,-73.8735001287,40.7379692541,0,2,0,4,0
2013644,-73.8977131778,40.8578830772,1,1,2,2,2
2013645,-73.944582346,40.8269108859,1,1,2,2,2
2013646,-73.8192501348,40.7644304136,1,2,0,4,5
2013648,-73.8568932616,40.8222050643,1,1,2,2,2
2013649,-73.853656207,40.8204416351,1,1,2,2,2
2013650,-73.97596074,40.6762543337,0,0,3,1,4
2013651,-73.8862104862,40.7457282077,0,2,0,0,0
2013652,-73.9505786422,40.7077561848,0,0,3,1,1
2013653,-73.9028215702,40.8650484162,1,1,2,2,2
2013654,-73.9097472007,40.8261834919,1,1,2,2,2
2013656,-73.9687828107,40.7533584358,0,0,3,0,1
2013659,-73.8680426169,40.8206895529,1,1,2,2,2
2013661,-73.9923410818,40.7210703966,0,0,3,0,1
2013666,-73.9393165232,40.8440736615,1,1,2,2,2
2013668,-73.9387487413,40.824819206,1,1,2,2,2
2013669,-73.9174426455,40.8239715266,1,1,2,2,2
2013671,-73.9359645206,40.7556037933,0,1,3,0,1
2013691,-73.8869991341,40.829715108,1,1,2,2,2
2013695,-73.9420651313,40.8378939901,1,1,2,2,2
2013697,-73.8658567045,40.6952493394,0,2,0,4,0
2013698,-73.9486567512,40.8006704915,1,1,2,0,1
2013699,-73.889727793,40.8403288112,1,1,2,2,2
2013700,-73.9506914027,40.7991206088,1,1,2,0,1
