,X,Y,Z3,Z15,Z30
488,-73.7706958083,40.5794231013,1,1,2
489,-73.7606958083,40.5794231013,2,1,0
490,-73.7506958083,40.5794231013,0,0,0
491,-73.7406958083,40.5794231013,0,1,0
492,-73.7306958083,40.5794231013,0,1,0
493,-73.7206958083,40.5794231013,0,1,0
494,-73.7106958083,40.5794231013,0,1,0
495,-74.2506958083,40.5894231013,2,2,2
496,-74.2406958083,40.5894231013,2,2,2
497,-74.2306958083,40.5894231013,2,2,2
498,-74.2206958083,40.5894231013,1,2,2
499,-74.2106958083,40.5894231013,1,2,2
500,-74.2006958083,40.5894231013,1,2,2
501,-74.1906958083,40.5894231013,1,1,2
502,-74.1806958083,40.5894231013,1,2,2
503,-74.1706958083,40.5894231013,1,2,2
504,-74.1606958083,40.5894231013,1,2,2
505,-74.1506958083,40.5894231013,2,2,2
506,-74.1406958083,40.5894231013,2,2,2
507,-74.1306958083,40.5894231013,0,2,2
508,-74.1206958083,40.5894231013,0,0,0
509,-74.1106958083,40.5894231013,0,0,0
510,-74.1006958083,40.5894231013,0,0,0
511,-74.0906958083,40.5894231013,1,2,2
512,-74.0806958083,40.5894231013,0,2,2
513,-74.0706958083,40.5894231013,2,0,0
514,-74.0606958083,40.5894231013,0,2,0
515,-74.0506958083,40.5894231013,2,2,0
516,-74.0406958083,40.5894231013,2,2,0
517,-74.0306958083,40.5894231013,2,2,2
518,-74.0206958083,40.5894231013,2,2,2
519,-74.0106958083,40.5894231013,0,0,2
520,-74.0006958083,40.5894231013,0,2,2
521,-73.9906958083,40.5894231013,2,0,0
522,-73.9806958083,40.5894231013,0,1,1
523,-73.9706958083,40.5894231013,0,0,0
524,-73.9606958083,40.5894231013,2,0,0
525,-73.9506958083,40.5894231013,0,0,0
526,-73.9406958083,40.5894231013,0,0,0
527,-73.9306958083,40.5894231013,0,2,0
528,-73.9206958083,40.5894231013,2,0,0
529,-73.9106958083,40.5894231013,2,0,0
530,-73.9006958083,40.5894231013,1,0,2
531,-73.8906958083,40.5894231013,1,2,2
532,-73.8806958083,40.5894231013,1,1,2
533,-73.8706958083,40.5894231013,1,2,1
534,-73.8606958083,40.5894231013,1,2,1
535,-73.8506958083,40.5894231013,2,2,1
536,-73.8406958083,40.5894231013,0,2,1
537,-73.8306958083,40.5894231013,0,1,1
538,-73.8206958083,40.5894231013,1,1,1
539,-73.8106958083,40.5894231013,1,1,1
540,-73.8006958083,40.5894231013,1,0,1
541,-73.7906958083,40.5894231013,0,0,0
542,-73.7806958083,40.5894231013,0,0,0
543,-73.7706958083,40.5894231013,2,2,2
544,-73.7606958083,40.5894231013,2,1,2
545,-73.7506958083,40.5894231013,0,0,0
546,-73.7406958083,40.5894231013,0,1,1
547,-73.7306958083,40.5894231013,0,1,0
548,-73.7206958083,40.5894231013,0,1,0
549,-73.7106958083,40.5894231013,0,1,0
550,-74.2506958083,40.5994231013,2,2,2
551,-74.2406958083,40.5994231013,1,2,2
552,-74.2306958083,40.5994231013,1,2,2
553,-74.2206958083,40.5994231013,1,2,2
554,-74.2106958083,40.5994231013,1,2,2
555,-74.2006958083,40.5994231013,1,1,2
556,-74.1906958083,40.5994231013,1,1,1
557,-74.1806958083,40.5994231013,1,1,2
558,-74.1706958083,40.5994231013,2,2,2
559,-74.1606958083,40.5994231013,0,2,2
560,-74.1506958083,40.5994231013,2,2,2
561,-74.1406958083,40.5994231013,0,2,2
562,-74.1306958083,40.5994231013,0,0,0
563,-74.1206958083,40.5994231013,0,0,0
564,-74.1106958083,40.5994231013,2,2,1
565,-74.1006958083,40.5994231013,1,1,0
566,-74.0906958083,40.5994231013,1,2,2
567,-74.0806958083,40.5994231013,2,2,2
568,-74.0706958083,40.5994231013,0,0,2
569,-74.0606958083,40.5994231013,2,0,2
570,-74.0506958083,40.5994231013,2,2,2
571,-74.0406958083,40.5994231013,2,0,0
572,-74.0306958083,40.5994231013,2,2,2
573,-74.0206958083,40.5994231013,2,2,2
574,-74.0106958083,40.5994231013,0,2,2
575,-74.0006958083,40.5994231013,0,0,0
