,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2014543,-73.8979519549,40.8412695822,0,0,2,1,5
2014544,-73.8911321007,40.750736645,0,2,0,4,0
2014545,-73.9076570016,40.8144015012,0,0,2,1,3
2014546,-73.9025706646,40.8117431682,0,0,2,1,3
2014547,-73.9766685658,40.6109560487,1,1,1,0,2
2014549,-73.9372183414,40.8269482826,0,0,2,4,3
2014550,-73.9390018122,40.8207187322,0,0,2,4,3
2014552,-73.8852347485,40.7548782357,0,2,3,4,0
2014553,-73.9864931004,40.7748394805,0,0,0,4,1
2014561,-73.9143455162,40.7458733364,0,2,0,4,1
2014563,-73.9415113357,40.8183238929,0,0,2,4,3
2014564,-73.9021871036,40.7482653095,0,2,0,4,1
2014567,-73.9495988537,40.7919289454,0,0,0,4,3
2014605,-73.9647069738,40.7141649148,1,1,0,2,1
2014606,-73.9150300799,40.8118435999,0,0,2,4,3
2014608,-73.8914078272,40.8672065507,0,0,2,1,5
2014626,-73.9292165094,40.6623053251,1,1,1,2,2
2014627,-73.8443535576,40.8880727391,0,0,2,1,5
2014629,-73.9488032857,40.7698170049,0,0,0,4,3
2014644,-73.8068038879,40.7317778217,0,2,3,3,0
2014645,-73.9092814233,40.8126845945,0,0,2,1,3
2014646,-73.9742918101,40.6101046554,1,1,1,0,2
2014647,-73.9570642426,40.6566675876,1,1,1,2,2
2014654,-73.9163635207,40.8115069739,0,0,2,4,3
2014655,-73.9705558168,40.6780124778,1,1,1,2,1
2014660,-73.9530367172,40.6079350374,1,1,1,0,2
2014661,-73.8975218298,40.8295684899,0,0,2,1,5
2014694,-73.9059854629,40.8698707258,0,0,2,1,5
2014695,-73.9776871375,40.7854382804,0,0,0,4,3
2014700,-73.9952991344,40.6212293357,1,1,1,0,2
2014714,-73.9427696741,40.8506984019,0,0,2,1,3
2014717,-74.0025472415,40.6340420816,1,1,1,0,2
2014718,-73.8124079057,40.6790463202,1,2,3,3,0
2014719,-73.9361250222,40.8253639811,0,0,2,4,3
2014721,-73.939193327,40.8167362457,0,0,2,4,3
2014726,-73.87788616,40.8748699496,0,0,2,1,5
2014757,-73.90465389,40.855443492,0,0,2,1,5
2014758,-74.0103494961,40.6469586061,1,1,1,0,2
2014760,-73.9335749715,40.6905351922,1,1,0,2,1
