,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2021493,-73.9046404499,40.7034536947,0,1,1,3,4
2021494,-73.8284987792,40.8359448195,1,0,2,4,5
2021523,-73.9505498405,40.6639249147,0,2,1,0,1
2021534,-73.9108690863,40.7817060704,1,0,2,3,0
2021535,-73.9398561869,40.8068363796,1,0,2,4,0
2021554,-73.9529889186,40.7678727677,1,0,2,3,0
2021577,-74.0108607438,40.5777101549,0,2,3,0,1
2021678,-73.9459574524,40.7576647293,1,0,2,3,0
2021682,-73.9643861802,40.6259339768,0,2,1,0,1
2021699,-73.8972400843,40.7078334623,0,1,1,3,4
2021735,-73.9288630322,40.8315271048,1,0,2,4,0
2021756,-73.9521228882,40.7170972635,0,2,1,3,4
2021757,-73.8697859966,40.7458535371,1,1,0,1,2
2021842,-74.008230944,40.7082660467,0,2,1,3,4
2021923,-73.9209314721,40.8343544838,1,0,2,4,5
2021944,-73.9661122652,40.8023018227,1,0,2,3,0
2022000,-73.9466336027,40.6255620498,0,2,1,0,1
2022001,-73.9207907356,40.8068687723,1,0,2,4,0
2022050,-73.9513843717,40.6761669755,0,2,1,0,4
2022115,-73.8511259335,40.8694204981,1,0,2,4,5
2022134,-74.0619884625,40.5960923492,0,2,3,2,3
2022192,-73.9707042548,40.6848030838,0,2,1,0,4
2022332,-73.9806502408,40.7287927726,0,2,1,3,4
2022348,-73.9774121401,40.7338535111,0,2,1,3,4
2022396,-73.8959024662,40.8206659201,1,0,2,4,5
2022423,-73.9459032642,40.7577195988,1,0,2,3,0
2022526,-73.9416607599,40.8003597537,1,0,2,4,0
2022608,-73.9490134131,40.7971519086,1,0,2,3,0
2022621,-73.9594563866,40.6049154609,0,2,1,0,1
2022626,-74.1210196186,40.6074362628,0,2,3,2,3
2022627,-74.0009089685,40.7104566583,0,2,1,3,4
2022633,-73.8898922425,40.8195789178,1,0,2,4,5
2022666,-73.9808999572,40.7135401899,0,2,1,3,4
2022731,-73.7830752163,40.6867240602,1,1,0,1,2
2022758,-73.8714971859,40.8372468422,1,0,2,4,5
2022797,-73.9068356114,40.812762241,1,0,2,4,0
2022849,-73.7708354413,40.5959903624,0,1,0,1,2
2022879,-73.9194640419,40.6823083343,0,2,1,0,4
2022900,-73.9286080848,40.8367556246,1,0,2,4,0
2023132,-73.900158304,40.8545586392,1,0,2,4,5
2023217,-73.8785015427,40.844818857,1,0,2,4,5
2023316,-73.9370327858,40.8244779369,1,0,2,4,0
2023323,-73.9165913526,40.8401372782,1,0,2,4,5
2023325,-73.9530367172,40.6079350374,0,2,1,0,1
2023405,-73.9074809412,40.8864745756,1,0,2,4,5
2023422,-73.903506133,40.8218280606,1,0,2,4,5
2023450,-74.0042678997,40.7229150499,0,2,1,3,4
2023510,-73.9477071818,40.8277961435,1,0,2,4,0
2023516,-73.9407155693,40.8193747139,1,0,2,4,0
2023524,-73.8940517161,40.744072368,1,1,0,3,4
2023525,-73.8773107328,40.8359439447,1,0,2,4,5
2023547,-73.9928020584,40.7618354677,0,2,1,3,0
2023595,-73.8859528881,40.8160947821,1,0,2,4,5
2023614,-73.7743439768,40.7532953433,1,1,0,1,2
2023678,-73.816023978,40.7653255843,1,1,0,1,2
2023712,-73.9372221698,40.8382098422,1,0,2,4,0
2023729,-73.9779290602,40.7419231836,0,2,1,3,4
2023843,-73.7807802679,40.7146587724,1,1,0,1,2
2023850,-73.8815551628,40.7009592182,0,1,0,1,2
2023910,-73.9087893136,40.6946490962,0,1,1,3,4
2023966,-73.9471346705,40.6706261436,0,2,1,0,4
2023967,-73.8299052258,40.8526457301,1,0,2,4,5
2023968,-73.9024441706,40.8117814874,1,0,2,4,5
2024083,-73.9427939731,40.7047635306,0,2,1,3,4
2024084,-73.9791612342,40.7137320216,0,2,1,3,4
2024166,-73.9494955594,40.7281465391,0,2,1,3,4
2024167,-73.9522836058,40.7798175795,1,0,2,3,0
2024168,-73.8593963164,40.7216984356,1,1,0,1,2
2024264,-73.9135473786,40.8492062968,1,0,2,4,5
2024353,-73.9350468261,40.7565172799,1,0,2,3,0
2024358,-73.9278601448,40.8566323245,1,0,2,4,5
2024535,-73.9163824206,40.8683471876,1,0,2,4,5
2024629,-73.8767532981,40.7466956078,1,1,0,1,2
2024693,-73.9200903338,40.7644346983,1,0,2,3,0
2024694,-73.9825527198,40.779875543,1,0,2,3,0
2024729,-73.9090819742,40.6889484391,0,1,1,0,4
2024820,-73.9244621951,40.8629100244,1,0,2,4,5
2024826,-73.9125859149,40.7061773214,0,1,1,3,4
